AccountNo,Year,Make,Model,VIN,Odometer,SaleDate,TypeDeal,APR,CurrentBalance,AmtToFinance,FirstPayDueDate,PaymentAmount,LastPayAmount,Down,NextPaymentDate,LastPaymentDate,NumberOfPayments,PaymentTerms,PaymentPeriod,NumberTradins,OpenBalance,TotalSalePrice,TotalOfPayments,TradeIn,TradeACV,TradePayoff,FinanceCharge,PrinCollected,IntCollected,SaleNo,Address,City,State,Zip
,2012,Chevrolet,Impala,2G1WC5E30C1284409,109170,10/31/2017,BS,29.8,0,10726.88,11/14/2017,234.97,0,1700,11/14/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,10726.88,16973.05,15273.05,0,0,0,4546.17,,,2149,1001 CHASE VILLAGE DR,Jonesboro,GA,30236-
,2007,Lexus,ES 350,JTHBJ46G072137826,147466,9/6/2017,BS,29.8,0,13386.38,9/20/2017,293.22,0,2500,9/20/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,13386.38,21559.3,19059.3,0,0,0,5672.92,,,2041,907 CRESTE LN,Decatur,GA,30035-
,2006,Nissan,Maxima,1N4BA41E46C854025,0,8/19/2017,BS,29.8,0,10269.25,9/2/2017,224.94,0,1400,9/2/2017,,65,65 BI-WEEKLY,BI-WEEKLY,0,10269.25,16021.1,14621.1,0,0,0,4351.85,,,2025,3783 SOAPSTONE RD,Decatur,GA,30034-
,2008,Nissan,Altima,1N4AL21E18N446292,122260,11/8/2017,BS,29.8,0,11208.62,11/22/2017,233.72,0,1000,11/22/2017,,70,70 BI-WEEKLY,BI-WEEKLY,0,11208.62,17360.4,16360.4,0,0,0,5151.78,,,2163,12100 SPRINGS LN APT H,Norcross,GA,30092-
,2009,Chevrolet,Impala,2G1WB57K691142646,144736,10/5/2017,BS,29.8,0,10232.25,10/21/2017,209.84,0,1000,10/21/2017,,72,72 BI-WEEKLY,BI-WEEKLY,0,10232.25,16108.48,15108.48,0,0,0,4876.23,,,2097,3124 DESTIN CIRCLE,LILBURN,GA,30047
10000,2007,LEXUS,RX 350  4D UTILITY A,2T2HK31U77C011136,70302,7/26/2010,C,0,0,0,7/26/2010,13159.88,0,13159.88,,,1,,MONTHLY,1,0,18159.88,0,5000,0,0,0,0,0,313,3705 POSTWAITE CIR,DULUTH,GA,30097
10189,2000,LEXUS,RX 300  4D UTILITY F,JT6GF10U6Y0072488,177254,4/1/2011,BP,9.9,0,8849.58,4/16/2011,155.49,0,2400,6/1/2012,5/31/2012,65,65 SEMI-MONTHLY,SEMI-MONTHLY,1,10106.85,13506.85,10106.85,1000,0,0,1257.27,3412.1,827.32,427,1108 CHASE LN,NORCROSS,GA,30093
10446,2002,MITSUBISHI,LANCER OZ SEDAN,JA3AJ86E32U064739,0,2/11/2008,BP,29.8,0,7133.74,2/25/2008,138.83,1.45,2700,10/18/2010,10/22/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,10830.19,13530.19,10830.19,0,0,0,3696.45,1314.09,183.57,2,4818 COCHISE CT,LILBURN,GA,30047
10492,1999,TOYOTA,COROLLA VE SEDA,1NXBR12E7XZ200160,0,2/20/2008,BP,29.8,1180.44,7578.24,3/8/2008,154.88,0,1000,5/15/2010,,76,76 SEMI-MONTHLY,SEMI-MONTHLY,0,11770.88,12770.88,11770.88,0,0,0,4192.64,0,0,3,5337 JAY WAY NW,LILBURN,GA,30047
10524,1999,HONDA,ACCORD EX,1HGCG165XXA006332,0,10/21/2008,BP,29.8,3306.06,10443.86,10/31/2008,202.6,0,1000,10/1/2010,10/15/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,15802.8,16802.8,15802.8,0,0,0,5358.94,1337.5,526.34,4,223 WINDMONT DRIVE NE,ATLANTA,GA,30329
10531,2004,DODGE,NEON SXT SEDAN,1B3ES56C84D615216,0,7/18/2008,BP,29.8,0,9081.88,8/1/2008,176.76,0,1000,,8/6/2011,78,78 BI-WEEKLY,BI-WEEKLY,0,13787.28,14787.28,13787.28,0,0,0,4705.4,4571.36,702.58,5,3886 MORAN WAY,NORCROSS,GA,30092
10709,1998,NISSAN,ALTIMA GLE SEDA,1N4DL01D7WC199099,0,2/24/2009,BP,29.8,5016.35,7810.41,3/10/2009,152.01,0,1000,11/30/2010,11/12/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,11856.78,12856.78,11856.78,0,0,0,4046.37,1293.18,682.93,6,2807 SUMMERWALK PARKWAY,TUCKER,GA,30084
10781,2002,JEEP,LIBERTY LIMITED,1J8GL58K82W178420,0,3/26/2009,BP,29.8,5669.45,12242.52,4/10/2009,248.21,0,1000,7/16/2010,7/2/2010,78,78 BI-WEEKLY,BI-WEEKLY,0,19860.38,20860.38,19360.38,0,0,0,6617.86,441.77,302.86,7,10250 BILLINGS POINTE,ALPHARETTA,GA,30022
10802,1997,LEXUS,ES 300  SEDAN,JT8BF22G8V0060398,0,6/17/2009,BP,23.9,0,10299.56,7/15/2009,192.15,0,0,6/15/2010,6/25/2010,78,78 SEMI-MONTHLY,SEMI-MONTHLY,0,14987.7,14987.7,14987.7,0,0,0,4688.14,0,0,8,620 MARYLEBONE DRIVE,SUWANEE,GA,30024
10837,2003,FORD,WINDSTAR VANS S,2FMDA534X3BB56409,0,5/18/2009,BP,29.8,0,9930.16,6/1/2009,262.02,0,1000,,4/18/2011,50,50 BI-WEEKLY,BI-WEEKLY,0,13101,14101,13101,0,0,0,3170.84,5317.35,679.83,9,4951 OLD NORCROSS ROAD,DULUTH,GA,30096
10851,2004,MITSUBISHI,GALANT ES,4A3AB36F94E123667,0,6/30/2009,BP,29.8,7637.79,8929.73,7/15/2009,197.42,0,900,9/30/2010,9/10/2010,68,68 SEMI-MONTHLY,SEMI-MONTHLY,0,13524.56,14424.56,13424.56,0,0,0,4394.83,936.21,650.56,10,792 ROXBORO TRACE,LILBURN,GA,30044
